-- more modifier links: https://developer.valvesoftware.com/wiki/Dota_2_Workshop_Tools/Scripting/Built-In_Modifier_Names

"modifier_life_stealer_infest"	"正在感染一个宿主"
"modifier_ember_spirit_searing_chains"	"炎阳索"
"modifier_ember_spirit_flame_guard"	"烈火罩"
"modifier_ember_spirit_fire_remnant_charge_counter"	"残焰点数"
"modifier_ember_spirit_fire_remnant"	"残焰"
"modifier_earth_spirit_stone_caller_charge_counter"	"残岩点数"
"modifier_earth_spirit_boulder_smash_silence"	"巨石冲击沉默效果"
"modifier_earth_spirit_rolling_boulder_caster"	"巨石翻滚"
"modifier_earth_spirit_rolling_boulder_slow"	"巨石翻滚的减速效果"
"modifier_earth_spirit_geomagnetic_grip"	"地磁之握"
"modifier_earth_spirit_magnetize"	"磁化"
"modifier_abyssal_underlord_firestorm_burn"	"火焰风暴"
"modifier_abyssal_underlord_pit_of_malice_ensare"	"怨念深渊"
"modifier_abyssal_underlord_atrophy_aura"	"衰退光环"
"modifier_abyssal_underlord_atrophy_aura_effect"	"衰退光环"
"modifier_abyssal_underlord_atrophy_aura_hero_buff"	"衰退光环的额外攻击力"
"modifier_abyssal_underlord_atrophy_aura_creep_buff"	"衰退光环的额外攻击力"
"modifier_roshan_halloween_levels"	"Roshan等级"
"Econ_Socket_AssetModifier_Name"	"动能：%s1"
"Econ_Socket_AssetModifier_Desc"	"%s1"
"modifier_roshan_sugar_rush_start_delay"	"等待"
"DOTA_DropRateModifier_DaysRemaining"	"剩余时间：<font color='#FFFFFF'>%s1天</font>"
"DOTA_DropRateModifier_MinuteRemaining"	"剩余时间：<font color='#FFFFFF'>%s1分钟</font>"
"DOTA_DropRateModifier_ExpiredHeader"	"您的经验飞升已过期！"
"DOTA_DropRateModifier_ExpiredDesc"	"你之前使用的经验飞升已经过期，想要再使用一个吗？"
"modifier_bristleback_quill_spray"	"刺针扫射"
"modifier_phoenix_icarus_dive_burn"	"凤凰冲击烧灼"
"modifier_phoenix_fire_spirit_burn"	"烈火精灵灼烧"
"modifier_phoenix_fire_spirit_count"	"烈火精灵"
"modifier_phoenix_sun_ray"	"烈日炙烤"
"modifier_phoenix_supernova_hiding"	"恒星形态"
"modifier_phoenix_sun"	"恒星形态"
"modifier_phoenix_sun_debuff"	"恒星灼烧"
"modifier_terrorblade_reflection_slow"	"倒影"
"modifier_terrorblade_metamorphosis"	"魔化"
"DOTA_DropRateModifier_OneGame"	"剩余时间：<font color='#FFFFFF'>1场比赛</font>"
"modifier_wisp_tether_slow"	"闪电之链减速"
"modifier_treant_natures_guise_grace_time"	"自然的伪装淡出时间"
"modifier_item_pipe_aura"	"洞察光环"
"modifier_vengefulspirit_command_negative_aura_effect"	"复仇光环"
"modifier_shadow_demon_demonic_purge_charge_counter"	"邪恶净化能量点数"
"modifier_ember_spirit_fire_remnant_timer"	"残焰持续时间"
"modifier_abaddon_borrowed_time_damage_redirect"	"回光返照伤害转移"
"modifier_aegis_regen"	"不朽之守护恢复效果"
"modifier_techies_stasis_trap_stunned"	"静滞陷阱缠绕效果"
"modifier_techies_land_mines_count"	"感应地雷计数"
"modifier_Bane_Nightmare_Invulnerable"	"无敌"
"modifier_sven_gods_strength_child"	"神之力量光环"
"modifier_bloodseeker_thirst_vision"	"嗜血渴望"
"modifier_phantom_lancer_phantom_edge_boost"	"幻影冲锋"
"modifier_riki_blinkstrike_chargecounter"	"闪烁突袭能量点数"
"modifier_sniper_headshot_slow"	"爆头停滞"
"modifier_broodmother_spin_web_charge_counter"	"织网能量点数"
"modifier_item_butterfly_extra"	"振翅"
"modifier_item_crimson_guard_extra"	"坚盾"
"modifier_item_crimson_guard_nostack"	"坚盾冷却中"
"modifier_broodmother_spin_web_slowed"	"织网减速效果"
"modifier_lone_druid_spirit_bear_attack_check"	"熊灵距离"
"modifier_tusk_snowball_movement_friendly"	"雪球"
"modifier_tusk_walrus_punch_air_time"	"啪！"
"modifier_elder_titan_earth_splitter_scepter"	"裂地沟壑"
"modifier_earthspirit_petrify"	"残岩魔咒"
"modifier_fountain_truesight_aura"	"真实视域"
"modifier_oracle_fortunes_end_purge"	"气运之末净化效果"
"modifier_oracle_fates_edict"	"命运敕令"
"modifier_oracle_purifying_flames"	"涤罪之焰治疗效果"
"modifier_item_sphere_target"	"林肯法球的技能抵挡效果"
"modifier_oracle_false_promise_timer"	"虚妄之诺"
"DOTA_Modifier_Alert"	"正处于<font color='%s1'>%s2%s3</font>的作用下"
"modifier_sniper_shrapnel_charge_counter"	"榴霰弹能量点数"
"modifier_granite_golem_hp_aura_bonus"	"磐石光环"
"modifier_alchemist_goblins_greed"	"贪魔的贪婪"
"modifier_item_medallion_of_courage_armor_addition"	"勇气勋章"
"DOTA_Modifier_Alert_Enemy"	"敌人<font color='%s4'>%s5</font>正处于<font color='%s1'>%s2%s3</font>的作用下"
"modifier_winter_wyvern_arctic_burn_flight"	"严寒烧灼飞行状态"
"modifier_winter_wyvern_arctic_burn_slow"	"严寒烧灼减速效果"
"modifier_winter_wyvern_splinter_blast_slow"	"碎裂冲击减速效果"
"modifier_winter_wyvern_cold_embrace"	"极寒之拥"
"modifier_winter_wyvern_winters_curse"	"寒冬诅咒"
"modifier_winter_wyvern_winters_curse_aura"	"寒冬诅咒目标"
"DOTA_Modifier_Tooltip_CNY_Suffix"	"<br><br>所有者：<font color='%s2'>%s1</font>"
"modifier_cny_beast_aura_attack_speed"	"攻速光环"
"modifier_cny_beast_aura_attack_speed_0"	"攻速光环"
"modifier_cny_beast_aura_attack_speed_1"	"攻速光环"
"modifier_cny_beast_aura_attack_speed_2"	"攻速光环"
"modifier_cny_beast_aura_attack_speed_3"	"攻速光环"
"modifier_cny_beast_aura_attack_speed_4"	"攻速光环"
"modifier_cny_beast_aura_move_speed"	"移速光环"
"modifier_cny_beast_aura_move_speed_0"	"移速光环"
"modifier_cny_beast_aura_move_speed_1"	"移速光环"
"modifier_cny_beast_aura_move_speed_2"	"移速光环"
"modifier_cny_beast_aura_move_speed_3"	"移速光环"
"modifier_cny_beast_aura_move_speed_4"	"移速光环"
"modifier_cny2015_support"	"辅助"
"modifier_cny2015_support_aura"	"辅助"
"modifier_cny2015_support_0"	"辅助光环"
"modifier_cny2015_support_1"	"辅助光环"
"modifier_cny2015_support_2"	"辅助光环"
"modifier_cny2015_support_3"	"辅助光环"
"modifier_cny2015_support_4"	"辅助光环"
"modifier_cny2015_combat"	"战斗"
"modifier_cny2015_speed"	"速度"
"modifier_cny_beast_buff_critical_strike"	"致命一击"
"modifier_cny_beast_buff_critical_strike_0"	"致命一击"
"modifier_cny_beast_buff_critical_strike_1"	"致命一击"
"modifier_cny_beast_buff_critical_strike_2"	"致命一击"
"modifier_cny_beast_buff_critical_strike_3"	"致命一击"
"modifier_cny_beast_buff_critical_strike_4"	"致命一击"
"modifier_cny_beast_buff_bash"	"重击"
"modifier_cny_beast_buff_bash_0"	"重击"
"modifier_cny_beast_buff_bash_1"	"重击"
"modifier_cny_beast_buff_bash_2"	"重击"
"modifier_cny_beast_buff_bash_3"	"重击"
"modifier_cny_beast_buff_bash_4"	"重击"
"modifier_cny_beast_buff_cleave"	"溅射"
"modifier_cny_beast_buff_cleave_0"	"溅射"
"modifier_cny_beast_buff_cleave_1"	"溅射"
"modifier_cny_beast_buff_cleave_2"	"溅射"
"modifier_cny_beast_buff_cleave_3"	"溅射"
"modifier_cny_beast_buff_cleave_4"	"溅射"
"modifier_cny_beast_double_damage"	"双倍伤害"
"modifier_cny_beast_haste"	"极速"
"modifier_cny2015_speed_0"	"速度光环"
"modifier_cny2015_speed_1"	"速度光环"
"modifier_cny2015_speed_2"	"速度光环"
"modifier_cny2015_speed_3"	"速度光环"
"modifier_cny2015_speed_4"	"速度光环"
"modifier_cny_beast_speed_path"	"速度光环"
"modifier_cny_beast_aegis"	"年兽之守护"
"modifier_skeleton_king_reincarnation_scepter"	"冥魂续命"
"modifier_skeleton_king_reincarnation_scepter_active"	"死亡延迟"
"modifier_dragonknight_breathefire_reduction"	"火焰吐息"
"modifier_life_stealer_assimilate"	"被吸收"
"modifier_flamebreak_damage"	"烈焰破击烧灼效果"
"modifier_item_ultimate_scepter_consumed"	"人工合成阿哈利姆神杖"
"modifier_silencer_last_word_slow"	"最后遗言减速效果"
"modifier_nyx_assassin_burrow"	"已钻地"
"modifier_keeper_of_the_light_chakra_magic"	"查克拉魔法"
"modifier_tusk_walrus_kick_slow"	"海象飞踢效果"
"modifier_tusk_walrus_kick_air_time"	"砰！"
"modifier_boots_of_travel_recall"	"远行鞋"
"modifier_item_lotus_orb_active"	"回音护盾"
"modifier_item_solar_crest_armor_reduction"	"炎阳纹章"
"modifier_item_solar_crest_armor_addition"	"炎阳纹章"
"modifier_item_moon_shard_consumed"	"银月之晶"
"modifier_item_guardian_greaves_aura"	"守护光环"
"modifier_item_silver_edge_windwalk"	"暗影步"
"modifier_silver_edge_debuff"	"暗影步攻击效果"
"modifier_item_mekansm_noheal"	"回复冷却时间"
"modifier_item_pipe_debuff"	"绝缘冷却时间"
"modifier_legion_commander_moment_of_courage_lifesteal"	"勇气之霎"
"modifier_bashed"	"重击"
"modifier_techies_minefield_sign_aura"	"雷区标识"
"Econ_Autograph_Modifier_TI2015"	"2015年国际邀请赛"
"Econ_Autograph_Modifier_TI2015_Golden"	"2015年国际邀请赛纯金"
"modifier_sand_king_caustic_finale_slow"	"腐尸毒减速"
"modifier_furion_wrathofnature_spawn"	"自然之怒"
"modifier_chaos_strike_debuff"	"混沌一击"
"modifier_earth_spirit_geomagnetic_grip_debuff"	"被沉默"
"modifier_terrorblade_metamorphosis_transform_aura_applier"	"魔化光环"
"modifier_arc_warden_flux"	"乱流"
"modifier_arc_warden_magnetic_field"	"磁场"
"modifier_arc_warden_tempest_double"	"风暴双雄"
"modifier_black_dragon_dragonhide_aura_bonus"	"龙隐光环"
"modifier_big_thunder_lizard_wardrums_aura"	"战鼓光环"
"modifier_undying_tombstone_zombie_modifier"	"死亡渴望减速效果"
"modifier_leshrac_lightning_storm_slow"	"闪电风暴减速"
"modifier_earth_spirit_boulder_smash"	"巨石冲击"
"modifier_fissure_rooted"	"被缠绕"
"modifier_fountain_aura_buff"	"泉水回春"
"modifier_death_prophet_spirit_siphon_charge_counter"	"吸魂巫术能量点数"
"modifier_kunkka_ghost_ship_loaded"	"上船任务"
"modifier_faceless_void_time_dilation_slow"	"时间膨胀减速"
"modifier_doom_bringer_infernal_blade_burn"	"阎刃灼烧"
"modifier_lycan_summon_wolves_crit_maim"	"致残"
"modifier_lone_druid_savage_roar"	"野蛮咆哮"
"modifier_rune_arcane"	"奥术"
"modifier_mudgolem_cloak_aura_bonus"	"魔抗光环"
"modifier_obsidian_destroyer_astral_imprisonment_buff_counter"	"智力窃取"
"modifier_obsidian_destroyer_astral_imprisonment_debuff_counter"	"智力窃取"
"modifier_magnataur_empower_aura_buff"	"授予力量光环"
"modifier_item_hood_of_defiance_barrier"	"护盾"
"modifier_neutral_spell_immunity_visible"	"技能免疫"
"modifier_lich_frostnova_slow"	"寒霜爆发减速效果"
"modifier_lich_chainfrost_slow"	"连环霜冻减速效果"
"modifier_item_hurricane_pike_active"	"飓风长戟推进效果"
"modifier_item_hurricane_pike_active_alternate"	"飓风长戟推进效果"
"modifier_item_hurricane_pike_range"	"飓风长戟射程"
"modifier_bloodthorn_debuff"	"血棘"
"modifier_echo_sabre_debuff"	"回音战刃减速效果"
"modifier_blight_stone_buff"	"枯萎之石"
"modifier_tower_aura_bonus"	"高塔保护"
"modifier_death_prophet_spirit_siphon_slow"	"吸魂巫术减速效果"
"modifier_bloodseeker_rupture_charge_counter"	"割裂能量点数"
"Econ_Autograph_Modifier_TI2016"	"2016年国际邀请赛"
"modifier_abyssal_underlord_atrophy_aura_dmg_buff_counter"	"衰退光环"
"modifier_abyssal_underlord_dark_rift"	"黑暗之门"
"modifier_tower_aura"	"高塔保护"
"modifier_windrunner_shackle_shot"	"束缚击"
"modifier_break"	"破        坏"
"modifier_fear"	"恐        惧"
"modifier_hexed"	"妖        术"
"modifier_muted"	"锁        闭"
"modifier_sleep"	"睡        眠"
"modifier_taunted"	"嘲        讽"
"modifier_filler_heal"	"庇佑恢复效果"
"modifier_monkey_king_boundless_strike_stun"	"棒击大地"
"modifier_monkey_king_boundless_strike_crit"	"棒击大地致命一击"
"modifier_monkey_king_spring_slow"	"乾坤之跃"
"modifier_monkey_king_quadruple_tap_counter"	"如意棒法"
"modifier_monkey_king_quadruple_tap_bonuses"	"如意棒法"
"modifier_monkey_king_transform"	"七十二变"
"modifier_phantom_assassin_stiflingdagger_caster"	"窒息之刃"
"modifier_mirana_starfall_scepter_thinker"	"群星风暴能量"
"modifier_chaos_knight_reality_rift_debuff"	"实相裂隙"
"modifier_chaos_knight_chaos_strike_debuff"	"混沌一击"
"modifier_undying_decay_buff_counter"	"腐朽"
"modifier_undying_decay_debuff_counter"	"腐朽"
"modifier_elder_titan_natural_order_spirit"	"自然秩序"
"modifier_elder_titan_natural_order_armor"	"自然秩序护甲降低"
"modifier_elder_titan_natural_order_magic_resistance"	"自然秩序魔法抗性降低"
"modifier_spawnlord_aura_bonus"	"潜行光环"
"modifier_spawnlord_master_freeze_root"	"停滞"
"modifier_spawnlord_master_stomp"	"亵渎"
"modifier_halloffame_glow"	"冠军光环"
"modifier_centaur_return"	"反击"
"modifier_monkey_king_unperched_stunned"	"从树上落下；眩晕中"
"modifier_phantom_lancer_phantom_edge_agility"	"敏捷提升"
"modifier_lich_attack_slow_debuff"	"冻结减速"
"modifier_necrolyte_sadist_active"	"幽魂护罩"
"modifier_necrolyte_heartstopper_aura"	"竭心光环"
"modifier_dark_seer_wall_slow"	"复制之墙减速"
"modifier_ancient_apparition_cold_feet_charge_counter"	"寒霜之足能量点数"
"modifier_gyrocopter_homing_missile_charge_counter"	"追踪导弹能量点数"
"modifier_item_helm_of_the_dominator_aura"	"支配头盔光环"
"modifier_monkey_king_fur_army_bonus_damage"	"猴子猴孙"
"modifier_necrolyte_death_pulse_counter"	"死亡脉冲"
